timestamp,ticker,signal,return,success
2022-06-15,DFIN,SELL,-0.0024734982332155,0
2022-06-16,DFIN,BUY,-0.0251366120218578,0
2022-06-17,DFIN,BUY,0.0192735359525574,1
2022-06-21,DFIN,BUY,-0.0010710460549804,0
2022-06-22,DFIN,BUY,0.0389374090247452,1
2022-06-23,DFIN,BUY,0.024484085344526,1
2022-06-24,DFIN,BUY,0.0369616819260766,1
2022-06-27,DFIN,BUY,-0.0208672970329312,0
2022-06-28,DFIN,BUY,-0.0315091210613598,0
2022-06-29,DFIN,BUY,0.0013675213675213,1
2022-06-30,DFIN,BUY,0.0159556018036767,1
2022-04-01,CSGP,BUY,-0.0104947526236881,0
2022-04-04,CSGP,BUY,0.0127264560562957,1
2022-04-05,CSGP,BUY,-0.0135493372606774,0
2022-04-06,CSGP,BUY,-0.0028954587016153,0
2022-04-07,CSGP,BUY,-0.0122380296772221,0
2022-04-08,CSGP,BUY,-0.0098207326578332,0
2022-04-11,CSGP,BUY,0.0052132701421801,1
2022-04-12,CSGP,SELL,0.0369511440940013,1
2022-04-13,CSGP,SELL,-0.0151878497202238,0
2022-04-14,CSGP,SELL,0.0314898950336831,1
2022-04-18,CSGP,BUY,-0.0119721727875748,0
2022-04-19,CSGP,BUY,0.0327788649706457,1
2022-04-20,CSGP,BUY,-0.0045583149952844,0
2022-04-21,CSGP,BUY,-0.0254636906633133,0
2022-04-22,CSGP,BUY,-0.0171832343022322,0
2022-04-25,CSGP,BUY,0.0205245153933865,1
2022-04-26,CSGP,SELL,0.0366147422514854,1
2022-04-27,CSGP,SELL,-0.0131976466846875,0
2022-04-28,CSGP,BUY,0.0140975987606506,1
2022-04-29,CSGP,BUY,-0.0225841143032724,0
2022-05-02,CSGP,SELL,-0.0109855618330195,0
2022-05-03,CSGP,SELL,0.0058057429781891,1
2022-05-04,CSGP,SELL,-0.0205371248025276,0
2022-05-05,CSGP,BUY,-0.0453834115805946,0
2022-05-06,CSGP,BUY,-0.0322527832351014,0
2022-05-09,CSGP,SELL,0.0093840641528748,1
2022-05-10,CSGP,BUY,-0.0505,0
2022-05-11,CSGP,BUY,-0.0502979320014021,0
2022-05-12,CSGP,BUY,0.033085501858736,1
2022-05-13,CSGP,BUY,0.0315546888849495,1
2022-05-16,CSGP,SELL,0.0143573776163294,1
2022-05-17,CSGP,BUY,-0.0005162622612287,0
2022-05-18,CSGP,BUY,-0.0267088385169565,0
2022-05-19,CSGP,BUY,0.0256363964614551,1
2022-05-20,CSGP,BUY,-0.0119273984442524,0
2022-05-23,CSGP,SELL,-0.0057391304347825,0
2022-05-24,CSGP,BUY,0.004546249344291,1
2022-05-25,CSGP,BUY,0.0243478260869564,1
2022-05-26,CSGP,SELL,-0.0057597831611044,0
2022-05-27,CSGP,BUY,0.0298057602143335,1
2022-05-31,CSGP,BUY,-0.0003280839895013,0
2022-06-01,CSGP,BUY,-0.0001632919660353,0
2022-06-02,CSGP,BUY,0.0459300424975482,1
2022-06-03,CSGP,BUY,-0.0063572790845517,0
2022-06-06,CSGP,BUY,-0.0190949935815147,0
2022-06-07,CSGP,BUY,0.0194142810134912,1
2022-06-08,CSGP,SELL,0.0027678280690329,1
2022-06-09,CSGP,BUY,-0.0240353172007848,0
2022-06-10,CSGP,BUY,-0.003062787136294,0
2022-06-13,CSGP,BUY,-0.0184631615966238,0
2022-06-14,CSGP,BUY,-0.0135884140890398,0
2022-06-15,CSGP,BUY,0.0048145506419401,1
2022-06-16,CSGP,BUY,0.0,0
2022-06-17,CSGP,BUY,0.0117307345244541,1
